threshold,precision,recall
1.9225505815618795e-06,0.14943215780035865,1.0
2.0043552498809155e-06,0.15033072760072158,1.0
2.0602057679216515e-06,0.15042117930204574,1.0
2.0964203838699175e-06,0.15933715742511154,1.0
2.2429749597833906e-06,0.15943877551020408,1.0
2.252940483120095e-06,0.16046213093709885,1.0
2.2711216857569272e-06,0.16233766233766234,1.0
2.281212264531029e-06,0.1625487646293888,1.0
2.293579709875511e-06,0.16286644951140064,1.0
2.4206623923068596e-06,0.16339869281045752,1.0
2.691568744315809e-06,0.16404199475065617,1.0
3.0367346454751777e-06,0.1656726308813784,1.0
3.0416140398522884e-06,0.16622340425531915,1.0
3.3644586664768134e-06,0.16644474034620507,1.0
3.4066786601444996e-06,0.1675603217158177,1.0
3.6033074853486466e-06,0.1676727028839705,1.0
4.172109212693173e-06,0.16857720836142953,1.0
4.431346585774691e-06,0.16960651289009498,1.0
4.4859398577160086e-06,0.17409470752089137,1.0
4.5422330555498595e-06,0.1753155680224404,1.0
5.4506747150128605e-06,0.17543859649122806,1.0
6.7288946938655594e-06,0.17580872011251758,1.0
6.813334109449085e-06,0.1763046544428773,1.0
7.297022855523265e-06,0.17642907551164433,1.0
8.107383530914505e-06,0.17667844522968199,1.0
8.647871092201625e-06,0.17755681818181818,1.0
8.973869147048608e-06,0.17857142857142858,1.0
1.0809815494779302e-05,0.17908309455587393,1.0
1.0930447193330159e-05,0.17972681524083392,1.0
1.152157512667068e-05,0.18050541516245489,1.0
1.2099098124123744e-05,0.18102824040550325,1.0
1.2657288877170639e-05,0.18155410312273057,1.0
1.2971750549289145e-05,0.1819505094614265,1.0
1.3235119037765245e-05,0.18248175182481752,1.0
1.356764804097866e-05,0.18355359765051396,1.0
1.3673400761343163e-05,0.18368846436443792,1.0
1.4413035392287966e-05,0.18409425625920472,1.0
1.6214635603559355e-05,0.18463810930576072,1.0
1.634973261811159e-05,0.18518518518518517,1.0
1.8148488609421623e-05,0.18587360594795538,1.0
1.8530969193651716e-05,0.18615040953090098,1.0
1.985776841684582e-05,0.18712574850299402,1.0
2.1619397287862812e-05,0.18882175226586104,1.0
2.2134975780953036e-05,0.18953752843062927,1.0
2.4501552258627153e-05,0.18968133535660092,1.0
2.563191439930296e-05,0.19011406844106463,1.0
2.5943164570319024e-05,0.1902587519025875,1.0
2.7222485890644886e-05,0.19142419601837674,1.0
2.847837284465011e-05,0.1918649270913277,1.0
3.2428745386829186e-05,0.1924557351809084,1.0
3.629631849552047e-05,0.19290123456790123,1.0
3.752631079575776e-05,0.19319938176197837,1.0
3.797080334396853e-05,0.19349845201238391,1.0
3.839452534966152e-05,0.19364833462432224,1.0
3.868614212566875e-05,0.1937984496124031,1.0
4.021310315848037e-05,0.2071251035625518,1.0
4.0470874009240114e-05,0.20781379883624274,1.0
4.052180845411311e-05,0.20833333333333334,1.0
4.3237859799256755e-05,0.2085070892410342,1.0
4.3555266015463074e-05,0.20885547201336674,1.0
4.6618604789535204e-05,0.20903010033444816,1.0
4.802915239030341e-05,0.20920502092050208,1.0
4.808959881654163e-05,0.20955574182732606,1.0
6.509104033316609e-05,0.20990764063811923,1.0
6.56691956505918e-05,0.21026072329688814,1.0
6.667537589915696e-05,0.21043771043771045,1.0
6.97512624631568e-05,0.211864406779661,1.0
7.259000224119999e-05,0.21331058020477817,1.0
7.593872323361096e-05,0.2134927412467976,1.0
7.774960604767724e-05,0.21367521367521367,1.0
7.834011185891448e-05,0.21385799828913601,1.0
8.710673807377761e-05,0.2158894645941278,1.0
9.112508389582805e-05,0.21607605877268798,1.0
9.4402719355886e-05,0.21626297577854672,1.0
0.00010839948466410059,0.21645021645021645,1.0
0.00010888105152391292,0.21663778162911612,1.0
0.00011518771821916259,0.2168256721595837,1.0
0.00011553617927877894,0.2170138888888889,1.0
0.00012755743307067872,0.22104332449160036,1.0
0.00013007656155047294,0.22123893805309736,1.0
0.00013180692324347821,0.22143489813994685,1.0
0.00013438309137541254,0.22163120567375885,1.0
0.00013501492427121512,0.22182786157941436,1.0
0.00014516946663049193,0.2222222222222222,1.0
0.00016259041463757184,0.22241992882562278,1.0
0.00018581330080556452,0.2226179875333927,1.0
